period,retail_trade,e_shopping,retail_e_commerce
2016-01-01,37415147.0,679612.0,877354.0
2016-02-01,36815980.0,616598.0,789553.0
2016-03-01,42763737.0,681191.0,865677.0
2016-04-01,46155952.0,686764.0,916710.0
2016-05-01,48783412.0,681192.0,916244.0
2016-06-01,48892480.0,664582.0,896826.0
2016-07-01,47842336.0,656449.0,874358.0
2016-08-01,47790528.0,664165.0,916180.0
2016-09-01,47059911.0,706048.0,1016196.0
2016-10-01,46455078.0,753835.0,1067243.0
2016-11-01,48043147.0,965932.0,1427865.0
2016-12-01,51693611.0,1095973.0,1757313.0
2017-01-01,39636308.0,756615.0,1110045.0
2017-02-01,38074136.0,689349.0,953177.0
2017-03-01,46588809.0,823797.0,1141635.0
2017-04-01,48423073.0,836585.0,1218384.0
2017-05-01,54057557.0,849202.0,1238803.0
2017-06-01,52905969.0,841006.0,1227351.0
2017-07-01,50974136.0,847808.0,1215864.0
2017-08-01,52091210.0,843248.0,1234763.0
2017-09-01,50105018.0,841324.0,1235559.0
2017-10-01,50626368.0,917974.0,1323360.0
2017-11-01,51723467.0,1185193.0,1874005.0
2017-12-01,53621980.0,1221033.0,1920654.0
2018-01-01,41445101.0,904311.0,1286624.0
2018-02-01,39476157.0,799413.0,1100479.0
2018-03-01,48435697.0,930822.0,1302542.0
2018-04-01,48565856.0,925389.0,1352015.0
2018-05-01,57227355.0,1019805.0,1455098.0
2018-06-01,55120461.0,1031493.0,1457483.0
2018-07-01,52835683.0,946317.0,1325481.0
2018-08-01,54160270.0,1000200.0,1442841.0
2018-09-01,51234938.0,965353.0,1405671.0
2018-10-01,52409997.0,1127280.0,1605771.0
2018-11-01,52480485.0,1457242.0,2269678.0
2018-12-01,53299810.0,1386134.0,2010242.0
2019-01-01,42005090.0,1062638.0,1455948.0
2019-02-01,40038590.0,958048.0,1298208.0
2019-03-01,49007033.0,1119590.0,1546432.0
2019-04-01,50761198.0,1213968.0,1623011.0
2019-05-01,57706834.0,1409904.0,1808031.0
2019-06-01,54274479.0,1470428.0,1893301.0
2019-07-01,54613897.0,1319725.0,1737061.0
2019-08-01,54567305.0,1337823.0,1770938.0
2019-09-01,51073691.0,1457708.0,1832302.0
2019-10-01,52425670.0,1423003.0,1831140.0
2019-11-01,53177952.0,1774960.0,2429828.0
2019-12-01,54328294.0,1990888.0,2762426.0
2020-01-01,42785098.0,1279348.0,1706385.0
2020-02-01,42944418.0,1234485.0,1628358.0
2020-03-01,43373008.0,1663307.0,2302938.0
2020-04-01,34393337.0,2078964.0,3722077.0
2020-05-01,47553019.0,2312045.0,4081464.0
2020-06-01,56631376.0,2143598.0,3408636.0
2020-07-01,57076113.0,1947740.0,2941443.0
2020-08-01,54430379.0,2095141.0,3070381.0
2020-09-01,55474001.0,2226550.0,3148288.0
2020-10-01,56933911.0,2077693.0,3211252.0
2020-11-01,56094952.0,2700321.0,4268750.0
2020-12-01,55843591.0,2989301.0,4824614.0
2021-01-01,43284050.0,2191179.0,3699425.0
2021-02-01,44278066.0,2081430.0,3228130.0
2021-03-01,56019514.0,2563464.0,3866332.0
2021-04-01,55025031.0,2340922.0,3991920.0
2021-05-01,58177075.0,2258594.0,4251134.0
2021-06-01,60442696.0,2415733.0,3874319.0
2021-07-01,60103496.0,1842253.0,2834922.0
2021-08-01,58829377.0,1996704.0,2977037.0
2021-09-01,57634235.0,2237769.0,3244009.0
2021-10-01,58946550.0,2286815.0,3336382.0
2021-11-01,59991741.0,2819238.0,4313607.0
